X1,X2,X3,X4,X5,Y1
0.645,0.768,0.397,0.43,0.505,0.142
0.648,0.753,0.384,0.426,0.512,0.17
0.644,0.751,0.376,0.418,0.517,0.205
0.643,0.754,0.372,0.42,0.511,0.207
0.643,0.768,0.37,0.39,0.507,0.209
0.641,0.781,0.37,0.373,0.508,0.211
0.635,0.78,0.364,0.383,0.5,0.212
0.633,0.769,0.352,0.397,0.501,0.214
0.638,0.771,0.35,0.382,0.504,0.216
0.645,0.791,0.355,0.382,0.498,0.217
0.648,0.791,0.353,0.382,0.5,0.219
0.646,0.778,0.339,0.382,0.506,0.221
0.647,0.771,0.333,0.402,0.509,0.222
0.647,0.78,0.336,0.406,0.504,0.224
0.643,0.778,0.332,0.396,0.507,0.226
0.634,0.765,0.322,0.393,0.515,0.227
0.629,0.766,0.32,0.409,0.513,0.229
0.633,0.782,0.319,0.41,0.506,0.231
0.642,0.783,0.309,0.394,0.507,0.233
0.644,0.78,0.305,0.408,0.507,0.234
0.638,0.772,0.306,0.388,0.507,0.236
0.638,0.775,0.309,0.386,0.511,0.231
0.646,0.781,0.313,0.391,0.508,0.219
0.65,0.781,0.313,0.385,0.497,0.206
0.649,0.763,0.312,0.401,0.501,0.193
0.65,0.749,0.311,0.378,0.508,0.18
0.654,0.765,0.311,0.385,0.503,0.167
0.657,0.771,0.317,0.398,0.499,0.154
0.654,0.782,0.321,0.373,0.5,0.141
0.645,0.777,0.32,0.374,0.508,0.138
0.64,0.754,0.324,0.395,0.512,0.147
0.633,0.766,0.327,0.398,0.508,0.157
0.628,0.776,0.329,0.414,0.506,0.166
0.626,0.78,0.329,0.43,0.505,0.175
0.625,0.774,0.324,0.43,0.507,0.184
0.62,0.759,0.314,0.409,0.511,0.194
0.621,0.768,0.301,0.389,0.512,0.203
0.624,0.783,0.294,0.392,0.509,0.212
0.619,0.78,0.291,0.448,0.512,0.215
0.616,0.772,0.291,0.44,0.513,0.211
0.619,0.778,0.288,0.4,0.509,0.207
0.625,0.778,0.293,0.426,0.506,0.203
0.631,0.767,0.298,0.405,0.508,0.198
0.637,0.765,0.3,0.384,0.509,0.194
0.64,0.765,0.296,0.383,0.505,0.19
0.639,0.778,0.297,0.409,0.499,0.185
0.636,0.778,0.305,0.421,0.499,0.181
0.631,0.769,0.309,0.387,0.506,0.177
0.626,0.763,0.313,0.413,0.508,0.173
0.622,0.774,0.311,0.41,0.504,0.168
0.617,0.779,0.303,0.364,0.506,0.164
0.618,0.761,0.297,0.389,0.514,0.16
0.624,0.761,0.292,0.391,0.513,0.156
0.624,0.759,0.287,0.391,0.512,0.154
0.625,0.771,0.291,0.418,0.508,0.156
0.626,0.774,0.296,0.429,0.507,0.157
0.627,0.749,0.302,0.443,0.511,0.159
0.625,0.762,0.308,0.418,0.511,0.161
0.619,0.775,0.307,0.381,0.506,0.163
0.614,0.787,0.304,0.422,0.499,0.164
0.613,0.78,0.303,0.442,0.502,0.166
0.613,0.777,0.3,0.409,0.502,0.168
0.611,0.772,0.297,0.421,0.504,0.17
0.608,0.766,0.293,0.394,0.508,0.171
0.61,0.773,0.292,0.402,0.505,0.173
0.609,0.776,0.285,0.422,0.506,0.175
0.614,0.756,0.279,0.384,0.511,0.177
0.621,0.758,0.282,0.398,0.51,0.178
0.622,0.768,0.285,0.419,0.512,0.18
0.62,0.771,0.285,0.389,0.508,0.182
0.617,0.782,0.286,0.396,0.501,0.182
0.617,0.781,0.284,0.39,0.502,0.181
0.617,0.788,0.278,0.398,0.502,0.179
0.618,0.784,0.284,0.417,0.505,0.178
0.618,0.778,0.285,0.405,0.506,0.176
0.618,0.77,0.283,0.425,0.506,0.174
0.617,0.768,0.281,0.446,0.505,0.173
0.617,0.757,0.276,0.452,0.508,0.171
0.621,0.743,0.278,0.418,0.514,0.17
0.625,0.756,0.271,0.386,0.514,0.168
0.627,0.77,0.276,0.37,0.512,0.167
0.627,0.773,0.287,0.385,0.51,0.165
0.627,0.761,0.281,0.388,0.512,0.164
0.626,0.764,0.277,0.391,0.512,0.162
0.626,0.788,0.279,0.41,0.503,0.161
0.625,0.786,0.282,0.384,0.5,0.159
0.628,0.768,0.282,0.406,0.507,0.157
0.633,0.75,0.292,0.424,0.518,0.156
0.639,0.749,0.298,0.393,0.513,0.154
0.644,0.755,0.296,0.384,0.51,0.153
0.642,0.757,0.302,0.394,0.508,0.151
0.64,0.77,0.304,0.395,0.501,0.15
0.638,0.785,0.312,0.398,0.496,0.148
0.635,0.784,0.327,0.382,0.496,0.147
0.634,0.778,0.322,0.396,0.498,0.145
0.635,0.765,0.314,0.428,0.504,0.144
0.636,0.765,0.313,0.389,0.507,0.143
0.639,0.758,0.306,0.387,0.513,0.143
0.64,0.751,0.308,0.441,0.516,0.144
0.643,0.759,0.318,0.416,0.521,0.144
0.649,0.762,0.32,0.385,0.517,0.144
0.652,0.774,0.323,0.367,0.5,0.145
0.651,0.783,0.327,0.357,0.5,0.145
0.651,0.782,0.332,0.418,0.505,0.146
0.65,0.765,0.341,0.409,0.511,0.146
0.652,0.757,0.341,0.384,0.513,0.147
0.652,0.766,0.344,0.418,0.509,0.147
0.648,0.777,0.344,0.437,0.502,0.147
0.649,0.776,0.336,0.409,0.503,0.148
0.654,0.764,0.344,0.386,0.506,0.148
0.659,0.761,0.349,0.395,0.506,0.149
0.661,0.768,0.349,0.41,0.504,0.149
0.663,0.766,0.355,0.421,0.507,0.149
0.663,0.762,0.358,0.404,0.511,0.15
0.657,0.763,0.367,0.373,0.506,0.15
0.651,0.77,0.371,0.399,0.502,0.151
0.65,0.77,0.364,0.396,0.509,0.151
0.648,0.77,0.356,0.364,0.517,0.151
0.647,0.779,0.349,0.394,0.512,0.154
0.646,0.781,0.345,0.38,0.51,0.159
0.648,0.781,0.342,0.392,0.508,0.164
0.648,0.779,0.335,0.417,0.507,0.169
0.644,0.773,0.329,0.384,0.512,0.174
0.645,0.762,0.333,0.396,0.514,0.18
0.647,0.757,0.333,0.409,0.51,0.185
0.642,0.777,0.33,0.413,0.505,0.19
0.636,0.774,0.328,0.41,0.509,0.195
0.633,0.765,0.325,0.378,0.513,0.2
0.631,0.771,0.325,0.393,0.508,0.205
0.628,0.77,0.318,0.392,0.508,0.21
0.625,0.78,0.309,0.391,0.506,0.215
0.62,0.776,0.3,0.42,0.508,0.22
0.618,0.765,0.292,0.359,0.512,0.226
0.616,0.746,0.278,0.383,0.514,0.231
0.612,0.763,0.271,0.446,0.51,0.236
0.614,0.781,0.267,0.408,0.503,0.241
0.616,0.769,0.264,0.397,0.506,0.246
0.618,0.768,0.265,0.394,0.508,0.251
0.622,0.762,0.262,0.407,0.509,0.251
0.624,0.764,0.256,0.436,0.508,0.245
0.62,0.782,0.251,0.402,0.504,0.238
0.617,0.78,0.25,0.403,0.504,0.231
0.614,0.778,0.245,0.388,0.505,0.224
0.61,0.757,0.249,0.392,0.511,0.218
0.607,0.755,0.248,0.446,0.509,0.211
0.605,0.778,0.243,0.406,0.501,0.211
0.6,0.785,0.237,0.359,0.502,0.22
0.598,0.769,0.228,0.357,0.51,0.229
0.604,0.773,0.215,0.397,0.509,0.237
0.604,0.772,0.207,0.425,0.506,0.246
0.602,0.745,0.2,0.376,0.511,0.255
0.607,0.753,0.19,0.381,0.511,0.264
0.612,0.77,0.193,0.43,0.507,0.265
0.615,0.775,0.203,0.402,0.51,0.255
0.618,0.769,0.198,0.398,0.516,0.245
0.626,0.757,0.194,0.403,0.51,0.236
0.632,0.76,0.197,0.407,0.504,0.226
0.633,0.776,0.2,0.425,0.502,0.216
0.637,0.779,0.2,0.405,0.505,0.206
0.637,0.784,0.198,0.402,0.503,0.197
0.63,0.785,0.199,0.402,0.5,0.187
0.624,0.771,0.197,0.384,0.502,0.177
0.623,0.769,0.199,0.409,0.504,0.168
0.625,0.761,0.197,0.408,0.51,0.164
0.623,0.754,0.192,0.415,0.511,0.17
0.62,0.77,0.186,0.401,0.509,0.175
0.621,0.769,0.174,0.399,0.512,0.181
0.625,0.783,0.176,0.432,0.507,0.186
0.628,0.788,0.173,0.388,0.506,0.191
0.628,0.765,0.173,0.39,0.509,0.197
0.625,0.766,0.181,0.368,0.511,0.198
0.627,0.77,0.18,0.376,0.513,0.195
0.635,0.768,0.183,0.439,0.508,0.192
0.64,0.771,0.187,0.4,0.504,0.188
0.641,0.766,0.192,0.4,0.505,0.185
0.642,0.769,0.196,0.374,0.508,0.181
0.645,0.756,0.198,0.361,0.509,0.178
0.65,0.753,0.198,0.433,0.506,0.174
0.653,0.766,0.2,0.42,0.504,0.171
0.654,0.765,0.2,0.413,0.509,0.167
0.657,0.777,0.209,0.397,0.507,0.164
0.656,0.771,0.212,0.409,0.505,0.16
0.654,0.766,0.214,0.449,0.504,0.157
0.649,0.764,0.225,0.389,0.503,0.153
0.647,0.753,0.226,0.376,0.51,0.15
0.651,0.759,0.219,0.39,0.51,0.146
0.658,0.767,0.221,0.402,0.504,0.143
0.663,0.767,0.233,0.421,0.503,0.139
0.663,0.773,0.243,0.395,0.501,0.136
0.664,0.776,0.246,0.405,0.503,0.132
0.663,0.767,0.249,0.361,0.509,0.129
0.658,0.761,0.255,0.365,0.508,0.125
0.657,0.768,0.26,0.421,0.504,0.122
0.659,0.761,0.266,0.4,0.509,0.118
0.659,0.756,0.267,0.41,0.516,0.115
0.656,0.769,0.267,0.354,0.509,0.114
0.653,0.764,0.27,0.351,0.508,0.115
0.65,0.753,0.275,0.431,0.51,0.117
0.645,0.769,0.276,0.426,0.505,0.119
0.64,0.784,0.271,0.416,0.502,0.121
0.635,0.776,0.267,0.373,0.508,0.122
0.632,0.773,0.264,0.379,0.511,0.124
0.636,0.77,0.266,0.432,0.512,0.126
0.639,0.772,0.264,0.435,0.509,0.128
0.64,0.766,0.26,0.453,0.511,0.13
0.64,0.756,0.262,0.448,0.512,0.131
0.642,0.762,0.264,0.425,0.509,0.133
0.646,0.76,0.269,0.43,0.507,0.135
0.649,0.766,0.267,0.404,0.504,0.137
0.653,0.758,0.277,0.364,0.506,0.138
0.658,0.753,0.296,0.359,0.504,0.137
0.663,0.759,0.305,0.394,0.501,0.131
0.664,0.766,0.309,0.44,0.501,0.125
0.664,0.777,0.306,0.418,0.502,0.12
0.662,0.762,0.306,0.395,0.507,0.114
0.658,0.764,0.31,0.385,0.507,0.108
0.653,0.766,0.314,0.37,0.51,0.11
0.65,0.759,0.315,0.382,0.514,0.124
0.649,0.777,0.313,0.402,0.51,0.137
0.65,0.779,0.31,0.408,0.507,0.15
0.65,0.769,0.304,0.403,0.507,0.164
0.65,0.761,0.297,0.419,0.51,0.177
0.649,0.776,0.293,0.429,0.508,0.19
0.646,0.783,0.292,0.443,0.506,0.195
0.646,0.783,0.299,0.42,0.501,0.188
0.649,0.766,0.305,0.404,0.501,0.181
0.651,0.762,0.301,0.388,0.501,0.174
0.65,0.772,0.301,0.374,0.507,0.167
0.649,0.765,0.315,0.401,0.511,0.16
0.649,0.771,0.323,0.448,0.507,0.153
0.65,0.767,0.327,0.455,0.507,0.147
0.653,0.768,0.333,0.425,0.503,0.14
0.656,0.771,0.338,0.362,0.503,0.133
0.66,0.753,0.336,0.325,0.512,0.126
0.662,0.747,0.342,0.382,0.516,0.119
0.665,0.764,0.352,0.446,0.513,0.112
0.668,0.765,0.352,0.448,0.514,0.105
0.667,0.77,0.357,0.405,0.51,0.109
0.666,0.783,0.353,0.379,0.502,0.127
0.664,0.78,0.341,0.391,0.506,0.145
0.662,0.762,0.34,0.391,0.512,0.163
0.662,0.764,0.332,0.376,0.512,0.181
0.66,0.766,0.32,0.397,0.511,0.19
0.661,0.78,0.32,0.394,0.505,0.189
0.663,0.784,0.323,0.375,0.502,0.188
0.662,0.767,0.319,0.422,0.507,0.186
0.661,0.757,0.321,0.399,0.513,0.185
0.661,0.779,0.319,0.395,0.505,0.184
0.662,0.784,0.316,0.438,0.503,0.182
0.663,0.777,0.323,0.403,0.505,0.181
0.663,0.775,0.32,0.395,0.507,0.18
0.665,0.77,0.312,0.37,0.513,0.178
0.666,0.762,0.313,0.402,0.514,0.177
0.665,0.746,0.318,0.46,0.51,0.176
0.666,0.759,0.313,0.373,0.504,0.174
0.669,0.757,0.312,0.359,0.506,0.173
0.672,0.761,0.316,0.394,0.502,0.172
0.676,0.781,0.316,0.393,0.499,0.171
0.678,0.774,0.32,0.398,0.507,0.169
0.679,0.757,0.328,0.39,0.515,0.168
0.68,0.751,0.33,0.413,0.514,0.167
0.678,0.748,0.319,0.389,0.515,0.165
0.672,0.756,0.307,0.355,0.517,0.171
0.67,0.771,0.308,0.384,0.512,0.187
0.669,0.782,0.295,0.403,0.507,0.203
0.669,0.761,0.275,0.439,0.512,0.224
0.671,0.751,0.265,0.504,0.517,0.252
0.672,0.773,0.251,0.473,0.516,0.28
0.671,0.774,0.257,0.397,0.51,0.28
0.671,0.76,0.27,0.339,0.508,0.243
0.673,0.752,0.274,0.337,0.505,0.207
0.673,0.755,0.288,0.389,0.504,0.169
0.672,0.775,0.299,0.434,0.504,0.132
0.67,0.784,0.311,0.436,0.502,0.108
0.669,0.764,0.32,0.449,0.503,0.102
0.671,0.756,0.313,0.435,0.505,0.0965
0.674,0.753,0.305,0.378,0.507,0.12
0.673,0.765,0.311,0.41,0.502,0.154
0.675,0.772,0.305,0.437,0.504,0.154
0.677,0.774,0.299,0.431,0.504,0.154
0.675,0.772,0.307,0.394,0.504,0.154
0.675,0.759,0.319,0.389,0.505,0.154
0.676,0.754,0.322,0.396,0.507,0.154
0.676,0.76,0.317,0.379,0.514,0.154
0.673,0.771,0.318,0.425,0.513,0.154
0.674,0.769,0.327,0.416,0.509,0.154
0.678,0.773,0.332,0.409,0.502,0.154
0.678,0.769,0.333,0.434,0.506,0.154
0.679,0.771,0.336,0.417,0.51,0.154
0.679,0.767,0.342,0.404,0.51,0.154
0.682,0.761,0.341,0.379,0.508,0.154
0.685,0.754,0.341,0.379,0.507,0.154
0.685,0.744,0.338,0.391,0.513,0.154
0.683,0.762,0.346,0.396,0.508,0.154
0.681,0.781,0.356,0.397,0.503,0.154
0.682,0.791,0.352,0.396,0.502,0.154
0.681,0.777,0.35,0.426,0.506,0.154
0.679,0.773,0.357,0.437,0.507,0.154
0.677,0.779,0.354,0.419,0.505,0.154
0.678,0.781,0.348,0.425,0.506,0.153
0.68,0.777,0.351,0.39,0.507,0.153
0.679,0.774,0.352,0.382,0.504,0.153
0.677,0.767,0.35,0.433,0.507,0.153
0.676,0.776,0.345,0.429,0.506,0.153
0.675,0.778,0.354,0.405,0.506,0.153
0.677,0.763,0.356,0.388,0.512,0.153
0.681,0.779,0.35,0.397,0.505,0.153
0.682,0.776,0.361,0.372,0.501,0.153
0.68,0.767,0.369,0.377,0.498,0.153
0.68,0.783,0.371,0.4,0.495,0.153
0.683,0.774,0.375,0.392,0.497,0.153
0.684,0.767,0.37,0.421,0.502,0.153
0.684,0.772,0.366,0.434,0.508,0.153
0.685,0.768,0.374,0.421,0.504,0.153
0.674,0.782,0.375,0.401,0.501,0.153
0.651,0.782,0.369,0.365,0.51,0.153
0.63,0.786,0.367,0.381,0.511,0.153
0.612,0.783,0.362,0.408,0.512,0.153
0.596,0.782,0.34,0.392,0.512,0.184
0.582,0.784,0.305,0.39,0.511,0.255
0.568,0.772,0.277,0.38,0.518,0.326
0.557,0.775,0.248,0.417,0.507,0.367
0.554,0.766,0.222,0.423,0.508,0.415
0.554,0.768,0.199,0.378,0.517,0.477
0.555,0.773,0.178,0.391,0.51,0.472
0.49,0.753,0.161,0.39,0.516,0.467
0.37,0.662,0.141,0.416,0.518,0.462
0.322,0.549,0.123,0.41,0.513,0.457
0.324,0.541,0.0999,0.41,0.51,0.451
0.323,0.534,0.0787,0.435,0.511,0.497
0.316,0.531,0.0648,0.381,0.513,0.545
0.311,0.528,0.058,0.394,0.51,0.509
0.261,0.418,0.0624,0.412,0.52,0.415
0.201,0.309,0.0614,0.409,0.526,0.311
0.203,0.285,0.0641,0.431,0.514,0.296
0.207,0.263,0.0811,0.388,0.511,0.28
0.209,0.277,0.105,0.362,0.507,0.206
0.21,0.265,0.122,0.44,0.508,0.107
0.213,0.26,0.145,0.465,0.503,0.076
0.225,0.263,0.169,0.448,0.5,0.0449
0.302,0.289,0.186,0.393,0.488,0.0256
0.461,0.382,0.212,0.398,0.47,0.0218
0.573,0.449,0.279,0.427,0.474,0.018
0.654,0.501,0.376,0.358,0.474,0.0159
0.723,0.562,0.447,0.395,0.476,0.0159
0.726,0.584,0.488,0.448,0.487,0.0159
0.806,0.678,0.528,0.451,0.477,0.0159
0.922,0.776,0.567,0.457,0.468,0.0101
0.946,0.801,0.596,0.442,0.479,0.0101
0.938,0.834,0.622,0.417,0.489,0.0101
0.922,0.859,0.632,0.392,0.497,0.0101
0.902,0.841,0.632,0.388,0.505,0.0101
0.884,0.84,0.621,0.398,0.515,0.0304
0.875,0.849,0.603,0.419,0.521,0.0508
0.873,0.832,0.59,0.438,0.524,0.0711
0.873,0.836,0.582,0.413,0.525,0.107
0.875,0.857,0.575,0.397,0.513,0.14
0.876,0.867,0.575,0.415,0.503,0.142
0.877,0.858,0.588,0.394,0.505,0.143
0.877,0.853,0.595,0.392,0.503,0.145
0.877,0.854,0.589,0.419,0.499,0.147
0.874,0.852,0.585,0.397,0.502,0.149
0.871,0.854,0.589,0.403,0.503,0.15
0.873,0.859,0.599,0.388,0.5,0.152
0.874,0.847,0.594,0.379,0.507,0.154
0.875,0.851,0.587,0.398,0.507,0.155
0.874,0.854,0.596,0.367,0.509,0.157
0.874,0.843,0.596,0.385,0.513,0.159
0.876,0.837,0.591,0.397,0.511,0.161
0.874,0.846,0.598,0.394,0.508,0.162
0.868,0.855,0.592,0.399,0.505,0.164
0.861,0.864,0.585,0.368,0.503,0.166
0.85,0.863,0.585,0.383,0.507,0.167
0.845,0.872,0.579,0.424,0.503,0.169
0.846,0.866,0.569,0.432,0.502,0.182
0.846,0.853,0.55,0.416,0.509,0.211
0.847,0.851,0.538,0.389,0.508,0.239
0.844,0.84,0.543,0.391,0.514,0.253
0.837,0.847,0.542,0.4,0.517,0.249
0.833,0.855,0.531,0.383,0.511,0.245
0.83,0.855,0.526,0.41,0.506,0.241
0.828,0.854,0.522,0.429,0.507,0.237
0.831,0.867,0.517,0.422,0.5,0.233
0.834,0.855,0.513,0.4,0.5,0.229
0.837,0.846,0.511,0.394,0.507,0.225
0.834,0.853,0.509,0.422,0.506,0.22
0.83,0.851,0.508,0.397,0.51,0.216
0.83,0.846,0.507,0.418,0.509,0.212
0.83,0.85,0.504,0.48,0.504,0.208
0.829,0.846,0.505,0.465,0.508,0.204
0.833,0.838,0.505,0.447,0.513,0.2
0.837,0.852,0.505,0.435,0.51,0.196
0.843,0.848,0.504,0.418,0.511,0.192
0.846,0.844,0.502,0.412,0.511,0.188
0.847,0.854,0.501,0.395,0.506,0.183
0.851,0.858,0.509,0.383,0.501,0.179
0.855,0.849,0.517,0.428,0.503,0.175
0.86,0.845,0.517,0.447,0.506,0.171
0.861,0.858,0.518,0.418,0.501,0.167
0.864,0.864,0.521,0.392,0.496,0.163
0.873,0.852,0.521,0.387,0.502,0.159
0.879,0.845,0.516,0.434,0.506,0.155
0.881,0.848,0.523,0.453,0.503,0.151
0.879,0.84,0.538,0.453,0.504,0.146
0.881,0.85,0.544,0.451,0.503,0.142
0.884,0.856,0.545,0.441,0.5,0.138
0.887,0.856,0.547,0.466,0.502,0.134
0.894,0.864,0.548,0.413,0.507,0.13
0.899,0.864,0.555,0.345,0.507,0.126
0.899,0.854,0.568,0.384,0.509,0.122
0.897,0.858,0.572,0.419,0.508,0.118
0.895,0.867,0.573,0.405,0.503,0.114
0.895,0.856,0.585,0.393,0.502,0.109
0.893,0.855,0.586,0.376,0.501,0.111
0.886,0.86,0.579,0.371,0.5,0.12
0.88,0.862,0.58,0.391,0.502,0.13
0.88,0.859,0.578,0.383,0.507,0.139
0.883,0.859,0.563,0.383,0.509,0.149
0.887,0.868,0.559,0.396,0.504,0.158
0.892,0.859,0.558,0.38,0.505,0.167
0.895,0.836,0.567,0.371,0.513,0.177
0.876,0.848,0.573,0.411,0.51,0.172
0.846,0.865,0.569,0.413,0.507,0.15
0.82,0.855,0.577,0.384,0.518,0.128
0.805,0.854,0.556,0.367,0.521,0.15
0.809,0.857,0.507,0.362,0.522,0.23
0.824,0.854,0.483,0.395,0.516,0.311
0.844,0.859,0.475,0.416,0.507,0.352
0.87,0.867,0.468,0.402,0.5,0.341
0.899,0.869,0.478,0.385,0.495,0.329
0.921,0.859,0.49,0.396,0.495,0.288
0.933,0.863,0.525,0.393,0.49,0.243
0.933,0.86,0.583,0.386,0.488,0.155
0.92,0.854,0.613,0.421,0.492,0.044
0.903,0.851,0.626,0.442,0.496,0.0526
0.886,0.858,0.629,0.408,0.503,0.0613
0.871,0.85,0.626,0.393,0.513,0.07
0.858,0.847,0.618,0.409,0.513,0.0786
0.846,0.859,0.593,0.4,0.516,0.0873
0.84,0.848,0.565,0.407,0.522,0.129
0.839,0.856,0.551,0.425,0.512,0.214
0.838,0.875,0.535,0.383,0.509,0.267
0.841,0.873,0.512,0.39,0.51,0.277
0.845,0.867,0.499,0.404,0.514,0.287
0.848,0.868,0.491,0.409,0.508,0.297
0.851,0.867,0.489,0.416,0.501,0.307
0.852,0.849,0.496,0.377,0.506,0.3
0.849,0.854,0.485,0.381,0.508,0.272
0.847,0.85,0.487,0.419,0.514,0.244
0.846,0.857,0.492,0.443,0.51,0.228
0.845,0.869,0.483,0.414,0.504,0.227
0.843,0.854,0.478,0.369,0.507,0.227
0.843,0.855,0.478,0.39,0.504,0.227
0.844,0.866,0.47,0.389,0.502,0.226
0.842,0.863,0.46,0.387,0.51,0.226
0.844,0.853,0.452,0.418,0.512,0.226
0.846,0.853,0.456,0.406,0.51,0.225
0.848,0.862,0.456,0.408,0.509,0.225
0.85,0.871,0.446,0.386,0.501,0.225
0.854,0.864,0.447,0.399,0.499,0.224
0.857,0.857,0.463,0.414,0.496,0.202
0.857,0.864,0.47,0.391,0.495,0.173
0.859,0.859,0.463,0.418,0.505,0.172
0.857,0.854,0.456,0.397,0.509,0.172
0.851,0.867,0.454,0.388,0.505,0.171
0.852,0.875,0.455,0.4,0.502,0.17
0.854,0.854,0.46,0.382,0.509,0.17
0.857,0.841,0.461,0.402,0.512,0.169
0.862,0.846,0.454,0.38,0.518,0.168
0.86,0.857,0.452,0.365,0.518,0.168
0.858,0.866,0.461,0.397,0.503,0.167
0.857,0.858,0.47,0.402,0.503,0.166
0.859,0.856,0.476,0.395,0.507,0.165
0.862,0.858,0.484,0.372,0.504,0.165
0.863,0.858,0.483,0.389,0.5,0.164
0.864,0.852,0.487,0.4,0.498,0.163
0.865,0.855,0.495,0.384,0.5,0.163
0.867,0.855,0.496,0.403,0.503,0.162
0.867,0.853,0.49,0.393,0.505,0.161
0.861,0.856,0.497,0.412,0.505,0.161
0.862,0.858,0.499,0.409,0.509,0.16
0.866,0.856,0.491,0.408,0.514,0.159
0.865,0.855,0.493,0.41,0.514,0.158
0.865,0.852,0.496,0.352,0.512,0.158
0.865,0.843,0.499,0.376,0.51,0.157
0.864,0.853,0.496,0.381,0.509,0.156
0.862,0.862,0.493,0.363,0.506,0.156
0.861,0.86,0.499,0.403,0.506,0.155
0.861,0.86,0.499,0.379,0.506,0.154
0.859,0.859,0.487,0.369,0.509,0.154
0.851,0.859,0.477,0.422,0.509,0.153
0.844,0.849,0.474,0.434,0.509,0.153
0.84,0.849,0.471,0.441,0.511,0.153
0.839,0.862,0.473,0.446,0.511,0.152
0.838,0.87,0.477,0.421,0.51,0.152
0.841,0.858,0.47,0.405,0.512,0.152
0.847,0.831,0.462,0.404,0.516,0.151
0.851,0.826,0.467,0.415,0.512,0.151
0.85,0.848,0.471,0.372,0.504,0.15
0.845,0.867,0.474,0.369,0.501,0.15
0.839,0.845,0.477,0.405,0.512,0.15
0.837,0.832,0.48,0.414,0.517,0.149
0.838,0.851,0.485,0.419,0.504,0.149
0.836,0.861,0.484,0.377,0.496,0.149
0.83,0.845,0.489,0.368,0.506,0.148
0.826,0.849,0.487,0.42,0.505,0.148
0.819,0.867,0.484,0.434,0.501,0.147
0.815,0.857,0.491,0.418,0.505,0.146
0.826,0.856,0.5,0.372,0.506,0.142
0.839,0.862,0.496,0.364,0.504,0.139
0.851,0.857,0.489,0.435,0.506,0.147
0.858,0.861,0.486,0.443,0.503,0.172
0.857,0.86,0.488,0.409,0.502,0.18
0.857,0.852,0.496,0.389,0.505,0.169
0.858,0.852,0.505,0.406,0.505,0.158
0.858,0.85,0.514,0.446,0.502,0.147
0.857,0.84,0.521,0.425,0.506,0.136
0.858,0.844,0.52,0.394,0.505,0.132
0.859,0.854,0.516,0.41,0.5,0.136
0.858,0.863,0.512,0.402,0.502,0.14
0.862,0.858,0.517,0.362,0.507,0.144
0.866,0.85,0.533,0.388,0.51,0.124
0.871,0.868,0.544,0.414,0.502,0.0988
0.88,0.852,0.556,0.402,0.506,0.106
0.891,0.852,0.556,0.391,0.508,0.114
0.897,0.867,0.549,0.388,0.504,0.121
0.899,0.857,0.547,0.375,0.505,0.128
0.905,0.859,0.541,0.437,0.504,0.136
0.906,0.863,0.546,0.464,0.505,0.143
0.894,0.856,0.549,0.417,0.511,0.147
0.884,0.856,0.552,0.419,0.505,0.145
