Fg,RPM,Fs,Fa,Fb,Fc,Fh,Fw,pressure,Fremoved,S,DO2,P,V,Wt,pH,T,Q,CO2outgas,Fpaa,PAA_offline,Foil,NH3_offline,OUR,O2,P_offline,X_offline,CER,NH3_shots,Viscosity_offline,Fault_ref,Control_ref,PAT_ref,Batch_ref,Batch_ref
42,100,75,0,51.05,146.52,0.0001,0,0.7,0,0.016092,9.4332,0.00093658,58842,64029,6.4849,298.01,70.371,0.7231,0,0,35,0,1.3777,0.18505,0,0,0.37567,0,0,0,1,0,0,1
42,100,75,0,57.61,144.79,0.0001,0,0.7,0,0.015649,9.3901,0.00093576,58863,64063,6.4873,298.02,72.062,0.7345,0,0,35,0,1.3762,0.18505,0,0,0.38165,0,0,0,1,0,0,1
55,100,150,0,63.181,147.42,0.0001,0,0.7,0,0.060628,8.0457,0.00093468,58900,64118,6.4615,298.15,107.37,0.58987,0,0,35,0,1.7528,0.18584,0,0,0.40061,0,0,0,1,0,0,1
55,100,150,0,79.207,192.73,0.0001,0,0.7,0,0.061254,7.724,0.00093355,58941,64177,6.4352,298.22,126.27,0.59309,0,0,35,0,1.8684,0.18461,0,0,0.40281,0,0,0,1,0,0,1
55,100,150,0,105.64,221.18,0.0001,0,0.7,0,0.055453,7.542,0.00093233,58987,64241,6.4158,298.23,130.22,0.60545,0,0,35,0,1.9251,0.18399,0,0,0.41127,0,0,0,1,0,0,1
55,100,150,0,139.84,233.78,0.0001,0,0.7,0,0.049422,7.443,0.000931,59039,64312,6.4019,298.22,127,0.61853,0,0,35,0,1.9557,0.18364,0,0,0.42023,0,0,0,1,0,0,1
55,100,150,0,179.6,238.26,0.0001,0,0.7,0,0.04386,7.3939,0.00092955,59100,64391,6.392,298.18,116.85,0.63175,0,0,35,0,1.9663,0.1835,0,0,0.42928,0,0,0,1,0,0,1
55,100,150,0,223.31,233.77,0.0001,0,0.7,0,0.039315,7.3587,0.00092797,59169,64478,6.3851,298.14,105.21,0.64503,0,0,35,0,1.9764,0.18337,0,0,0.43838,0,0,0,1,0,0,1
55,100,150,0,225,226.22,0.0001,0,0.7,0,0.036446,7.2715,0.00092639,59238,64566,6.3798,298.11,97.519,0.65838,0,0,35,0,1.9817,0.18329,0,0,0.44753,0,0,0,1,0,0,1
55,100,150,0,225,222.11,0.0001,0,0.7,0,0.033545,7.1923,0.00092481,59308,64654,6.376,298.1,93.349,0.6718,0,0,35,0,1.9958,0.18311,0,0,0.45674,0,0,0,1,0,0,1
55,100,150,0,225,221.26,0.0001,0,0.7,0,0.032164,7.0654,0.00092324,59378,64742,6.3726,298.08,87.729,0.6853,0,0,35,0,2.0238,0.18279,0,0,0.466,0,0,0,1,0,0,1
55,100,150,0,225,217.94,0.0001,0,0.7,0,0.029522,7.0285,0.00092167,59447,64830,6.3707,298.07,84.81,0.69884,0,0,35,0,2.039,0.1826,0,0,0.47529,0,0,0,1,0,0,1
55,100,150,0,225,217.29,0.0001,0,0.7,0,0.027826,6.9491,0.0009201,59517,64917,6.3695,298.05,80.747,0.71237,0,0,35,0,2.0617,0.18234,0,0,0.48458,0,0,0,1,0,0,1
55,100,150,0,225,214.74,0.0001,0,0.7,0,0.026149,6.8824,0.00091854,59586,65005,6.3689,298.05,79.19,0.72593,0,0,35,0,2.0748,0.18217,0,0,0.49389,0,0,0,1,0,0,1
55,100,150,0,225,214.81,0.0001,0,0.7,0,0.025517,6.746,0.00091698,59656,65093,6.3679,298.04,78.955,0.73956,0,0,35,0,2.1073,0.1818,0,0,0.50326,0,0,0,1,0,0,1
55,100,150,0,225,216.24,0.0001,0,0.7,0,0.023862,6.6857,0.00091543,59725,65180,6.3673,298.03,74.533,0.75328,0,0,35,0,2.1147,0.1817,0,0,0.51268,0,0,0,1,0,0,1
55,100,150,0,225,212.4,0.0001,0,0.7,0,0.023272,6.5882,0.00091388,59795,65268,6.3667,298.02,70.902,0.76703,0,0,35,0,2.1329,0.18148,0,0,0.52214,0,0,0,1,0,0,1
55,100,150,0,225,209.05,0.0001,0,0.7,0,0.022983,6.4428,0.00091233,59864,65356,6.3655,298.01,70.694,0.78091,0,0,35,0,2.1655,0.1811,0,0,0.53168,0,0,0,1,0,0,1
55,100,150,0,225,209.46,0.0001,0,0.7,0,0.022451,6.3394,0.00091079,59934,65444,6.3642,298.02,72.861,0.79489,0,0,35,0,2.1902,0.18081,0,0,0.5413,0,0,0,1,0,0,1
55,100,150,0,225,212.69,0.0001,0,0.7,0,0.022496,6.1431,0.00090925,60004,65532,6.3619,298.02,72.645,0.80904,0,0,35,0,2.2375,0.18028,0,0,0.55104,0,0,0,1,0,0,1
55,100,150,0,225,213.2,0.0001,0,0.7,0,0.022593,5.9407,0.00090772,60073,65621,6.3589,298.02,72.419,0.82342,0,0,35,0,2.2958,0.17963,0,0,0.56094,0,0,0,1,0,0,1
55,100,150,0,225,213.72,0.0001,0,0.7,0,0.021595,5.8583,0.00090619,60143,65710,6.3564,298.02,71.78,0.83792,0,1129.9,35,1888.4,2.3154,0.1794,0.00091233,10.042,0.57093,0,22.616,0,1,0,0,1
55,100,30,0,225,213.71,0.0001,0,0.7,0,0.0027182,10.832,0.025012,60188,65764,6.3994,297.66,1.00E-06,0.84665,0,0,35,0,1.0991,0.19221,0,0,0.57694,0,0,0,1,0,0,1
55,100,30,0,225,64.114,389.93,0,0.7,0,0.0027187,10.808,0.052647,60234,65818,6.4409,298.93,355.08,0.8517,0,0,35,0,0.94788,0.19376,0,0,0.58042,0,0,0,1,0,0,1
55,100,30,0,225,492.12,38.993,0,0.7,0,0.0027428,10.761,0.080208,60279,65873,6.4778,297.89,66.116,0.85654,0,0,35,0,0.94106,0.19382,0,0,0.58376,0,0,0,1,0,0,1
55,100,30,0,225,147.64,1140.5,0,0.7,0,0.0029011,10.762,0.10779,60324,65926,6.5109,301.24,1001.8,0.86135,0,0,35,0,0.93179,0.19391,0,0,0.58707,0,0,0,1,0,0,1
55,100,30,0,221.19,1304.1,114.05,0,0.7,0,0.0027114,10.742,0.13542,60368,65980,6.5399,298.01,97.87,0.86615,0,0,35,0,0.93298,0.19389,0,0,0.59038,0,0,0,1,0,0,1
55,100,30,0,205.75,287.74,11.405,0,0.8,0,0.0027084,11.532,0.16407,60410,66030,6.5651,297.42,1.00E-06,0.87091,0,0,35,0,0.94361,0.19377,0,0,0.59366,0,0,0,1,0,0,1
55,100,30,0.5181,102.88,86.322,0.0001,0,0.8,0,0.0027335,11.319,0.19269,60431,66060,6.5843,297.36,1.00E-06,0.87568,0,0,35,0,0.99167,0.19326,0,0,0.59695,0,0,0,1,0,0,1
55,100,30,1.0367,51.438,25.897,85.319,0,0.8,0,0.0026739,11.242,0.22217,60443,66080,6.5903,297.74,107.98,0.88042,0,0,35,0,1.0087,0.19308,0,0,0.60021,0,0,0,1,0,0,1
55,100,30,1.5568,25.719,7.769,0.0001,0,0.8,0,0.0025803,11.202,0.2525,60449,66095,6.5691,297.89,148.59,0.88507,0,0,35,0,1.0227,0.19292,0,0,0.60342,0,0,0,1,0,0,1
55,100,30,2.0798,12.859,2.3307,83.186,0,0.8,0,0.0025358,11.155,0.28331,60452,66108,6.5254,298.32,270.08,0.88965,0,0,35,0,1.0421,0.19271,0,0,0.60658,0,0,0,1,0,0,1
