X0,X1,X2,X3,X4,X5,X6,Y
161.39,61692,67679,1.08,1.06,0.19,0.82,2.88
162.33,61709,67705,1.08,1.07,0.19,0.82,2.92
159.35,61725,67730,1.08,1.06,0.19,0.83,2.95
156.13,61740,67755,1.09,1.05,0.19,0.83,2.99
146.64,61756,67779,1.09,1.05,0.19,0.83,3.03
138.42,61771,67804,1.1,1.07,0.19,0.84,3.07
131.39,61788,67831,1.1,1.08,0.19,0.84,3.11
39.42,61806,67858,1.1,1.07,0.19,0.84,3.14
223,61824,67885,1.11,1.09,0.19,0.84,3.18
212.61,61843,67913,1.11,1.09,0.19,0.85,3.22
194.1,61861,67941,1.11,1.09,0.19,0.85,3.26
172.56,61879,67968,1.12,1.09,0.19,0.85,3.3
156.49,61896,67995,1.12,1.12,0.19,0.86,3.34
148.01,61913,68020,1.13,1.13,0.19,0.86,3.38
143.22,61928,68045,1.13,1.14,0.19,0.86,3.42
139.2,61944,68070,1.13,1.15,0.19,0.87,3.46
135.9,61961,68097,1.14,1.18,0.19,0.87,3.5
133.95,61980,68125,1.14,1.2,0.19,0.87,3.54
130.74,61999,68154,1.15,1.2,0.19,0.87,3.58
125.92,62019,68184,1.15,1.2,0.19,0.88,3.62
124.53,62040,68214,1.15,1.19,0.19,0.88,3.66
120.31,62060,68244,1.16,1.18,0.19,0.88,3.7
117.74,62079,68273,1.16,1.18,0.19,0.89,3.74
118.8,62098,68301,1.17,1.17,0.19,0.89,3.78
121.6,62115,68328,1.17,1.18,0.19,0.89,3.82
125.12,62132,68355,1.17,1.19,0.19,0.9,3.86
127.36,62249,68481,1.18,0.89,0.19,0.9,3.9
38.21,62367,68609,1.18,0.86,0.19,0.9,3.94
226.33,62486,68737,1.19,0.87,0.19,0.9,3.97
176.55,62606,68866,1.19,0.87,0.19,0.91,4.01
128.18,62726,68996,1.19,0.88,0.19,0.91,4.05
90.12,62847,69126,1.2,0.88,0.19,0.91,4.08
27.04,62967,69256,1.2,0.88,0.19,0.92,4.12
133.86,63088,69386,1.21,0.89,0.19,0.92,4.15
110.18,63207,69515,1.21,0.89,0.19,0.92,4.19
84.78,63327,69645,1.21,0.88,0.19,0.93,4.22
63.76,63447,69775,1.22,0.92,0.19,0.93,4.26
19.13,63567,69905,1.22,0.94,0.19,0.93,4.29
93.22,63688,70035,1.22,0.94,0.19,0.93,4.33
79.6,63809,70166,1.23,0.95,0.19,0.94,4.37
64.73,63930,70297,1.23,0.96,0.19,0.94,4.4
51.86,64052,70429,1.24,0.95,0.19,0.94,4.44
39.6,64174,70560,1.24,0.94,0.19,0.95,4.47
11.88,64295,70691,1.24,0.95,0.19,0.95,4.51
64.19,64415,70821,1.25,0.96,0.19,0.95,4.54
52.17,64535,70950,1.25,0.96,0.19,0.96,4.58
38.53,64654,71079,1.26,0.97,0.19,0.96,4.61
30.08,64772,71207,1.26,0.97,0.19,0.96,4.65
23.39,64891,71335,1.26,0.95,0.19,0.96,4.68
18.28,65009,71463,1.27,0.94,0.19,0.97,4.72
5.48,65129,71592,1.27,0.95,0.19,0.97,4.75
36.27,65249,71721,1.27,0.94,0.19,0.97,4.79
29.3,65369,71851,1.28,0.93,0.19,0.98,4.82
21.06,65490,71981,1.28,0.92,0.19,0.98,4.86
14.36,65611,72111,1.28,0.92,0.19,0.98,4.89
9.65,65731,72241,1.29,0.93,0.19,0.98,4.93
6.44,65852,72372,1.29,0.96,0.19,0.99,4.96
6.41,65973,72503,1.3,0.99,0.19,0.99,5
7.51,66095,72634,1.3,0.98,0.19,0.99,5.03
7.17,66217,72765,1.3,0.98,0.19,0.99,5.07
6.78,66339,72898,1.31,0.97,0.19,1,5.1
6.62,66463,73030,1.31,0.95,0.19,1,5.14
5.49,66587,73164,1.31,0.97,0.19,1,5.18
5.23,66710,73298,1.32,0.98,0.19,1.01,5.21
4.88,66834,73431,1.32,0.98,0.19,1.01,5.25
4.9,66957,73563,1.33,0.97,0.19,1.01,5.28
3.51,67079,73694,1.33,0.95,0.19,1.01,5.32
1.6,67200,73825,1.33,0.95,0.19,1.02,5.35
0,67321,73956,1.34,0.94,0.19,1.02,5.39
0,67441,74086,1.34,0.93,0.19,1.02,5.42
0,67562,74215,1.34,0.94,0.19,1.02,5.46
0,67682,74345,1.35,0.94,0.19,1.03,5.49
0,67802,74475,1.35,0.93,0.19,1.03,5.53
0,67923,74604,1.35,0.93,0.19,1.03,5.56
6.39,68044,74735,1.36,0.95,0.19,1.04,5.6
2.16,68165,74866,1.36,0.95,0.19,1.04,5.63
0,68288,74998,1.36,0.98,0.19,1.04,5.67
0,68412,75132,1.37,0.99,0.19,1.04,5.7
0,68537,75266,1.37,0.97,0.19,1.05,5.74
0,68662,75401,1.37,0.97,0.19,1.05,5.77
0,68787,75536,1.38,0.98,0.19,1.05,5.81
0,68912,75670,1.38,0.98,0.19,1.05,5.84
0,69036,75804,1.38,0.99,0.19,1.06,5.87
0.1,69160,75937,1.39,1,0.19,1.06,5.91
0.54,69283,76071,1.39,1.01,0.19,1.06,5.94
1.68,69406,76204,1.4,1.03,0.19,1.07,5.98
4.05,69530,76338,1.4,1.03,0.19,1.07,6.01
4.97,69654,76472,1.4,1.06,0.19,1.07,6.05
6.79,69779,76607,1.41,1.07,0.19,1.07,6.08
7.09,69904,76742,1.41,1.07,0.19,1.08,6.11
7.14,70030,76878,1.42,1.07,0.19,1.08,6.15
7.52,70156,77014,1.42,1.09,0.19,1.08,6.18
8.03,70282,77150,1.42,1.1,0.19,1.09,6.22
7.02,70408,77286,1.43,1.09,0.19,1.09,6.25
5.2,70533,77421,1.43,1.08,0.19,1.09,6.28
3.73,70658,77555,1.43,1.08,0.19,1.09,6.32
2.43,70783,77690,1.44,1.1,0.19,1.1,6.35
4.03,70907,77824,1.44,1.11,0.19,1.1,6.39
5.15,71031,77958,1.45,1.11,0.19,1.1,6.42
5.16,71155,78092,1.45,1.11,0.19,1.11,6.45
3.83,71279,78227,1.45,1.12,0.19,1.11,6.49
3.32,71404,78361,1.46,1.15,0.19,1.11,6.52
3.95,71530,78497,1.46,1.15,0.19,1.12,6.55
3.57,71656,78633,1.46,1.15,0.19,1.12,6.59
3.14,71783,78770,1.47,1.14,0.19,1.12,6.62
1.66,71910,78907,1.47,1.16,0.19,1.12,6.65
1.24,72037,79045,1.48,1.17,0.19,1.13,6.69
1.4,72164,79181,1.48,1.16,0.19,1.13,6.72
1.26,72290,79317,1.48,1.16,0.19,1.13,6.75
0.27,72415,79452,1.49,1.17,0.19,1.14,6.78
0,72539,79586,1.49,1.18,0.19,1.14,6.82
0,72663,79720,1.49,1.19,0.19,1.14,6.85
0,72786,79853,1.5,1.19,0.19,1.14,6.88
0,72911,79988,1.5,1.19,0.19,1.15,6.92
0,73036,80124,1.51,1.18,0.19,1.15,6.95
0,73163,80261,1.51,1.19,0.19,1.15,6.98
0,73292,80399,1.51,1.21,0.19,1.16,7.02
0,73420,80538,1.52,1.2,0.19,1.16,7.05
0,73549,80677,1.52,1.2,0.19,1.16,7.08
0,73677,80815,1.52,1.2,0.19,1.16,7.11
0,73805,80953,1.53,1.19,0.19,1.17,7.15
0,73931,81089,1.53,1.2,0.19,1.17,7.18
0,74056,81225,1.54,1.23,0.19,1.17,7.21
0,74180,81359,1.54,1.25,0.19,1.18,7.24
0.83,74304,81493,1.54,1.25,0.19,1.18,7.28
1.56,74427,81627,1.55,1.27,0.19,1.18,7.31
3.18,74551,81761,1.55,1.28,0.19,1.18,7.34
5.01,74676,81897,1.56,1.28,0.19,1.19,7.38
6.71,74802,82033,1.56,1.29,0.19,1.19,7.41
8.19,74930,82171,1.56,1.29,0.19,1.19,7.44
9.37,75058,82310,1.57,1.3,0.19,1.2,7.48
10.33,75186,82449,1.57,1.28,0.19,1.2,7.51
10.59,75315,82588,1.58,1.28,0.19,1.2,7.54
10.57,75444,82728,1.58,1.28,0.19,1.21,7.58
11.22,75572,82867,1.58,1.26,0.19,1.21,7.61
9.8,75700,83005,1.59,1.24,0.19,1.21,7.64
7.84,75829,83144,1.59,1.28,0.19,1.22,7.67
8.66,75957,83283,1.6,1.3,0.19,1.22,7.71
9.74,76085,83421,1.6,1.29,0.19,1.22,7.74
10.38,76212,83560,1.6,1.29,0.19,1.22,7.77
10.37,76340,83698,1.61,1.27,0.19,1.23,7.8
8.43,76468,83836,1.61,1.26,0.19,1.23,7.84
5.99,76596,83974,1.62,1.27,0.19,1.23,7.87
3.68,76724,84114,1.62,1.28,0.19,1.24,7.9
1.68,76853,84253,1.62,1.28,0.19,1.24,7.93
0,76982,84393,1.63,1.29,0.19,1.24,7.96
0,77111,84532,1.63,1.3,0.19,1.25,8
0,77240,84671,1.63,1.29,0.19,1.25,8.03
0,77368,84810,1.64,1.28,0.19,1.25,8.06
0,77497,84949,1.64,1.27,0.19,1.25,8.09
0,77625,85087,1.65,1.26,0.19,1.26,8.12
0,77673,85146,1.65,1.51,0.19,1.26,8.16
20.23,77721,85203,1.65,1.55,0.19,1.26,8.2
37.28,77768,85261,1.66,1.56,0.19,1.27,8.24
51.35,77815,85318,1.66,1.57,0.19,1.27,8.28
63.39,77862,85375,1.66,1.56,0.19,1.27,8.31
74.04,77914,85438,1.67,1.68,0.19,1.27,8.36
91.88,77967,85502,1.67,1.7,0.19,1.28,8.4
105.35,78021,85568,1.68,1.74,0.19,1.28,8.44
117.78,78077,85636,1.68,1.74,0.19,1.28,8.48
127.54,78135,85705,1.69,1.73,0.19,1.29,8.52
135.49,78194,85775,1.69,1.73,0.19,1.29,8.56
139.18,78252,85845,1.7,1.74,0.19,1.3,8.6
142,78310,85915,1.7,1.77,0.19,1.3,8.64
147.16,78367,85984,1.7,1.78,0.19,1.3,8.68
149.59,78423,86052,1.71,1.78,0.19,1.31,8.72
153.88,78477,86117,1.71,1.77,0.19,1.31,8.76
156.39,78529,86181,1.72,1.77,0.19,1.31,8.8
153.15,78580,86244,1.72,1.78,0.19,1.32,8.84
154.18,78630,86306,1.73,1.79,0.18,1.32,8.89
158.6,78680,86367,1.73,1.78,0.18,1.32,8.93
157.12,78730,86429,1.74,1.8,0.18,1.33,8.97
154.4,78780,86491,1.74,1.8,0.18,1.33,9.01
148.75,78832,86554,1.75,1.78,0.18,1.33,9.05
144.5,78885,86619,1.75,1.76,0.19,1.34,9.1
141.81,78939,86684,1.76,1.76,0.19,1.34,9.14
137.62,78988,86743,1.76,1.53,0.19,1.34,9.17
41.29,79037,86801,1.76,1.5,0.19,1.35,9.21
181.4,79084,86857,1.77,1.51,0.19,1.35,9.25
163.16,79129,86911,1.77,1.54,0.19,1.35,9.29
141.33,79172,86963,1.77,1.56,0.19,1.35,9.32
123.24,79213,87014,1.77,1.59,0.19,1.36,9.36
108.02,79254,87064,1.78,1.58,0.19,1.36,9.4
95.01,79296,87115,1.78,1.57,0.19,1.36,9.44
83.19,79340,87168,1.78,1.56,0.19,1.36,9.48
24.96,79385,87223,1.79,1.56,0.19,1.37,9.51
110.89,79432,87280,1.79,1.55,0.19,1.37,9.55
103.1,79479,87336,1.79,1.52,0.19,1.37,9.59
89.61,79526,87392,1.8,1.53,0.19,1.37,9.63
78.32,79571,87447,1.8,1.54,0.19,1.37,9.66
69.6,79615,87499,1.8,1.58,0.19,1.38,9.7
65.34,79657,87550,1.8,1.58,0.19,1.38,9.74
62.47,79697,87600,1.81,1.57,0.19,1.38,9.78
60.62,79737,87649,1.81,1.57,0.19,1.38,9.82
58.68,79778,87699,1.81,1.55,0.19,1.39,9.85
55.48,79821,87750,1.82,1.55,0.19,1.39,9.89
54.26,79865,87803,1.82,1.53,0.19,1.39,9.93
50.76,79910,87858,1.82,1.54,0.19,1.39,9.96
47.23,79956,87912,1.82,1.52,0.19,1.39,10
42.79,80001,87966,1.83,1.55,0.19,1.4,10.03
40.19,80045,88019,1.83,1.55,0.19,1.4,10.07
38.45,80087,88070,1.83,1.57,0.19,1.4,10.11
38.36,80127,88120,1.83,1.58,0.19,1.4,10.14
38.64,80167,88169,1.84,1.59,0.19,1.4,10.18
39.61,80207,88218,1.84,1.58,0.19,1.41,10.21
39.27,80249,88269,1.84,1.57,0.19,1.41,10.25
39.22,80292,88321,1.85,1.55,0.19,1.41,10.29
38.79,80337,88376,1.85,1.54,0.19,1.41,10.32
37.62,80384,88431,1.85,1.55,0.19,1.42,10.36
35.98,80431,88487,1.85,1.55,0.19,1.42,10.39
34.69,80478,88543,1.86,1.54,0.19,1.42,10.43
32.99,80524,88598,1.86,1.53,0.19,1.42,10.46
30.84,80568,88652,1.86,1.55,0.19,1.42,10.5
30.62,80611,88704,1.87,1.59,0.19,1.43,10.54
33.03,80654,88756,1.87,1.59,0.19,1.43,10.57
35.89,80696,88808,1.87,1.6,0.19,1.43,10.61
38.67,80739,88861,1.87,1.59,0.19,1.43,10.65
40.02,80784,88914,1.88,1.62,0.19,1.43,10.69
42.98,80829,88970,1.88,1.62,0.19,1.44,10.72
44.57,80876,89026,1.88,1.61,0.19,1.44,10.76
45.64,80923,89083,1.89,1.61,0.19,1.44,10.8
46.17,80970,89139,1.89,1.61,0.19,1.44,10.83
46.58,81017,89195,1.89,1.6,0.19,1.45,10.87
46.23,81062,89250,1.89,1.62,0.19,1.45,10.91
48.48,81106,89304,1.9,1.64,0.19,1.45,10.95
51.27,81149,89357,1.9,1.66,0.19,1.45,10.98
54.6,81191,89409,1.55,1.59,0.19,1.48,11.02
56.28,81234,89461,1.53,1.53,0.19,1.46,11.06
57.59,81277,89514,1.53,1.53,0.19,1.47,11.1
59.48,81320,89567,1.54,1.53,0.19,1.47,11.14
61.03,81364,89621,1.54,1.52,0.19,1.47,11.18
61.69,81409,89675,1.54,1.54,0.19,1.47,11.22
62.34,81453,89730,1.54,1.55,0.19,1.47,11.26
60.91,81497,89784,1.55,1.52,0.19,1.48,11.29
59.16,81541,89837,1.55,1.52,0.19,1.48,11.33
57.31,81584,89890,1.55,1.52,0.19,1.48,11.37
57.21,81626,89943,1.55,1.53,0.19,1.48,11.41
58.67,81668,89994,1.56,1.53,0.19,1.49,11.45
59.8,81710,90046,1.56,1.52,0.19,1.49,11.49
61.72,81752,90098,1.56,1.53,0.19,1.49,11.52
62.76,81795,90151,1.56,1.53,0.19,1.49,11.56
62.71,81838,90204,1.57,1.53,0.19,1.5,11.6
61.77,81881,90257,1.57,1.53,0.19,1.5,11.64
61.48,81926,90311,1.57,1.52,0.19,1.5,11.67
60.8,81970,90365,1.57,1.51,0.19,1.5,11.71
60.14,82013,90419,1.58,1.49,0.19,1.51,11.75
59.74,82056,90471,1.58,1.52,0.19,1.51,11.78
59.42,82098,90523,1.58,1.54,0.19,1.51,11.82
59.76,82140,90574,1.58,1.55,0.19,1.51,11.86
58.96,82181,90625,1.59,1.56,0.19,1.51,11.9
57.8,82222,90676,1.59,1.57,0.19,1.52,11.93
56.88,82264,90728,1.59,1.58,0.19,1.52,11.97
56.05,82307,90780,1.59,1.58,0.19,1.52,12.01
54.27,82350,90833,1.6,1.59,0.19,1.52,12.04
54.06,82393,90887,1.6,1.61,0.19,1.53,12.08
53.83,82436,90939,1.6,1.62,0.19,1.53,12.12
53.54,82479,90992,1.6,1.61,0.19,1.53,12.15
52.7,82521,91043,1.6,1.61,0.19,1.53,12.19
51.47,82562,91094,1.61,1.61,0.19,1.53,12.23
50.86,82603,91145,1.61,1.61,0.19,1.54,12.26
49.84,82644,91196,1.61,1.61,0.19,1.54,12.3
50.46,82686,91247,1.61,1.63,0.19,1.54,12.34
50.49,82728,91299,1.62,1.64,0.19,1.54,12.37
51.94,82770,91351,1.62,1.64,0.19,1.55,12.41
53.55,82813,91403,1.62,1.65,0.19,1.55,12.44
54.21,82855,91455,1.62,1.65,0.19,1.55,12.48
53.67,82897,91507,1.62,1.65,0.19,1.55,12.52
53.14,82938,91558,1.63,1.63,0.19,1.55,12.55
51.32,82979,91609,1.63,1.65,0.19,1.56,12.59
50.75,83020,91660,1.63,1.67,0.19,1.56,12.63
50.55,83062,91711,1.63,1.67,0.19,1.56,12.66
50.08,83103,91762,1.64,1.66,0.19,1.56,12.7
48.85,83145,91814,1.64,1.65,0.19,1.56,12.74
47.04,83187,91866,1.64,1.65,0.19,1.57,12.77
45,83228,91917,1.64,1.66,0.19,1.57,12.81
42.82,83270,91968,1.65,1.66,0.19,1.57,12.84
41.62,82606,91219,1.64,1.64,0.19,1.56,12.88
41.3,81939,90468,1.63,1.65,0.19,1.55,12.91
43.08,81270,89714,1.62,1.68,0.19,1.54,12.95
47.66,80598,88958,1.6,1.67,0.19,1.53,12.99
50.39,79926,88201,1.59,1.68,0.19,1.52,13.03
53.6,79257,87447,1.58,1.65,0.19,1.51,13.07
56.39,78590,86696,1.57,1.63,0.19,1.5,13.11
58.72,77927,85948,1.56,1.64,0.19,1.49,13.15
61.11,77265,85201,1.55,1.62,0.19,1.48,13.19
63.24,76603,84454,1.54,1.63,0.19,1.47,13.23
67.67,76643,84505,1.54,1.63,0.19,1.47,13.27
70.84,76683,84556,1.54,1.65,0.19,1.47,13.31
72.26,76724,84607,1.54,1.65,0.19,1.47,13.35
72.81,76767,84660,1.54,1.66,0.19,1.47,13.39
73.64,76812,84716,1.55,1.64,0.19,1.48,13.43
71.2,76859,84773,1.55,1.64,0.19,1.48,13.47
68.35,76906,84831,1.55,1.63,0.19,1.48,13.51
66.99,76954,84889,1.55,1.61,0.19,1.48,13.55
64.55,77001,84946,1.56,1.62,0.19,1.49,13.59
62.68,77046,85003,1.56,1.61,0.19,1.49,13.63
60.73,77091,85058,1.56,1.62,0.19,1.49,13.67
59.5,77134,85111,1.56,1.62,0.19,1.49,13.71
57.55,77177,85164,1.57,1.61,0.19,1.5,13.75
55.28,77219,85216,1.57,1.6,0.19,1.5,13.79
54.02,77261,85269,1.57,1.6,0.19,1.5,13.83
52.97,77304,85321,1.57,1.61,0.19,1.5,13.86
52.38,77347,85375,1.58,1.63,0.19,1.51,13.9
51.87,77391,85430,1.58,1.64,0.19,1.51,13.94
51.95,77436,85485,1.58,1.63,0.19,1.51,13.98
51.56,77481,85540,1.58,1.61,0.19,1.51,14.02
51.63,77526,85596,1.59,1.64,0.19,1.51,14.05
52.07,77570,85650,1.59,1.66,0.19,1.52,14.09
53.03,77614,85704,1.59,1.68,0.19,1.52,14.13
53.42,77656,85757,1.59,1.7,0.19,1.52,14.17
54.62,77698,85809,1.6,1.7,0.19,1.52,14.21
56.26,77740,85862,1.6,1.67,0.19,1.53,14.25
56.46,77783,85914,1.6,1.67,0.19,1.53,14.28
56.37,77826,85968,1.6,1.71,0.19,1.53,14.32
57.2,77869,86022,1.61,1.72,0.19,1.53,14.36
56.33,77913,86075,1.61,1.72,0.19,1.54,14.4
55.77,77957,86129,1.61,1.71,0.19,1.54,14.43
56.22,78000,86183,1.61,1.71,0.19,1.54,14.47
55.73,78043,86236,1.62,1.71,0.19,1.54,14.51
55.86,78085,86289,1.62,1.7,0.19,1.55,14.55
54.81,78128,86341,1.62,1.68,0.19,1.55,14.58
52.29,78171,86394,1.62,1.68,0.19,1.55,14.62
50.46,78213,86447,1.63,1.67,0.19,1.55,14.66
46.94,78257,86500,1.63,1.65,0.19,1.55,14.69
42.93,78300,86554,1.63,1.64,0.19,1.56,14.73
39.24,78344,86608,1.63,1.63,0.19,1.56,14.76
35.46,78389,86662,1.63,1.62,0.19,1.56,14.8
10.64,78434,86717,1.64,1.6,0.19,1.56,14.83
51.86,78479,86772,1.64,1.63,0.19,1.56,14.87
49.51,78524,86827,1.64,1.61,0.19,1.57,14.9
44.47,78569,86882,1.64,1.62,0.19,1.57,14.94
41.86,78614,86937,1.64,1.61,0.19,1.57,14.98
38.83,78659,86991,1.65,1.62,0.19,1.57,15.01
36.36,78703,87046,1.65,1.61,0.19,1.57,15.05
34.05,78748,87101,1.65,1.59,0.19,1.58,15.08
32.94,78793,87155,1.65,1.56,0.19,1.58,15.12
30.41,78837,87210,1.65,1.55,0.19,1.58,15.15
29.37,78882,87264,1.66,1.54,0.19,1.58,15.18
27.62,78926,87319,1.66,1.57,0.19,1.58,15.22
27.5,78971,87373,1.66,1.58,0.19,1.59,15.25
26.46,79015,87427,1.66,1.58,0.19,1.59,15.29
25.58,79058,87481,1.67,1.55,0.19,1.59,15.32
24.94,79102,87534,1.67,1.56,0.19,1.59,15.36
24.99,79144,87587,1.67,1.6,0.19,1.59,15.39
27.6,79187,87640,1.67,1.61,0.19,1.6,15.43
29.45,79230,87693,1.67,1.63,0.19,1.6,15.47
31.19,79273,87747,1.68,1.64,0.19,1.6,15.5
32.34,79317,87801,1.68,1.62,0.19,1.6,15.54
32.76,79361,87856,1.68,1.63,0.19,1.61,15.58
34.29,79405,87910,1.68,1.65,0.19,1.61,15.61
36.24,79449,87964,1.69,1.66,0.19,1.61,15.65
36.22,79492,88018,1.69,1.67,0.19,1.61,15.69
36.76,79534,88070,1.69,1.66,0.19,1.61,15.73
36.07,79576,88122,1.69,1.65,0.19,1.62,15.76
34.54,79617,88174,1.69,1.66,0.19,1.62,15.8
33.77,79657,88225,1.7,1.65,0.19,1.62,15.83
32.07,79698,88276,1.7,1.65,0.19,1.62,15.87
29.54,79740,88327,1.7,1.66,0.19,1.62,15.91
28.59,79782,88380,1.7,1.67,0.19,1.63,15.94
28.24,79825,88433,1.7,1.67,0.19,1.63,15.98
28.87,79868,88487,1.71,1.67,0.19,1.63,16.02
28.92,79911,88540,1.71,1.68,0.19,1.63,16.06
29.32,79954,88594,1.71,1.67,0.19,1.63,16.09
29.54,79997,88647,1.71,1.67,0.19,1.64,16.13
